W,Ta,Mo,Nb,Zr,Ti
19.9219,0.9937,0.9937,23.5444,35.9878,18.5586
0.8941,13.9492,8.7823,30.0732,33.6757,12.6255
7.2085,17.8566,30.7726,3.5039,16.067,24.5913
29.7907,0.8461,13.717,5.6798,27.3243,22.6421
29.7214,27.6271,0.6754,15.105,0.6754,26.1957
2.6495,23.0635,22.7486,4.9782,16.5535,30.0068
12.5389,9.2622,20.9714,21.0979,29.3375,6.7921
21.8217,35.2556,17.1991,0.7918,0.7918,24.14
28.4965,15.9238,22.8156,29.1308,2.9557,0.6776
0.7545,14.1905,11.9456,1.9889,35.9387,35.1818
0.7961,0.7961,25.3463,0.7961,32.84,39.4255
7.5265,0.97,16.3711,44.7106,29.4518,0.97
